,CaseNumber,Country,Century,Year,Month,Type,Activities,Fatal,Sex,Age
3715,3715_USA,USA,XX,1960.0,Dec,Unprovoked,Fishing,Y,M,
3716,3716_Australia,Australia,XX,1960.0,Dec,Unprovoked,,N,F,27.0
3717,3717_South Africa,South Africa,XX,1960.0,Dec,Unprovoked,Swimming,Y,M,25.0
3718,3718_Australia,Australia,XX,1960.0,Dec,Unprovoked,Fishing,N,M,33.0
3719,3719_Australia,Australia,XX,1960.0,Dec,Unprovoked,Fishing,N,M,
3720,3720_Australia,Australia,XX,1960.0,Nov,Unprovoked,Swimming,N,M,41.0
3721,3721_USA,USA,XX,1960.0,Nov,,Others,Y,F,51.0
3722,3722_Australia,Australia,XX,1960.0,Nov,Provoked,Others,N,M,17.0
3723,3723_Australia,Australia,XX,1960.0,Nov,Unprovoked,Spearfishing,N,M,24.0
3724,3724_South Africa,South Africa,XX,1960.0,Nov,Unprovoked,Others,N,,
3725,3725_Others,Others,XX,1960.0,Nov,Provoked,,N,M,
3726,3726_Papua New Guinea,Papua New Guinea,XX,1960.0,Nov,Unprovoked,Fishing,Y,M,
3727,3727_USA,USA,XX,1960.0,Oct,Unprovoked,Others,N,M,36.0
3728,3728_South Africa,South Africa,XX,1960.0,Oct,Unprovoked,Fishing,N,,
3729,3729_Australia,Australia,XX,1960.0,Oct,,Fishing,N,M,24.0
3730,3730_Papua New Guinea,Papua New Guinea,XX,1960.0,Oct,Unprovoked,Fishing,N,M,26.0
3731,3731_Others,Others,XX,1960.0,Oct,Unprovoked,Others,Y,M,
3732,3732_USA,USA,XX,1960.0,Oct,,Diving,Y,M,
3733,3733_South Africa,South Africa,XX,1960.0,Oct,Unprovoked,Fishing,N,,
3734,3734_Others,Others,XX,1960.0,Oct,,Diving,N,M,37.0
3735,3735_USA,USA,XX,1960.0,Sep,Provoked,Fishing,N,M,
3736,3736_Others,Others,XX,1960.0,Sep,Unprovoked,Others,N,M,
3737,3737_Australia,Australia,XX,1960.0,Sep,Unprovoked,,N,,
3738,3738_Others,Others,XX,1960.0,Sep,,Diving,N,M,
3739,3739_Others,Others,XX,1960.0,Sep,,Diving,N,M,
3740,3740_USA,USA,XX,1960.0,Aug,Unprovoked,Swimming,N,M,25.0
3741,3741_Others,Others,XX,1960.0,Aug,Unprovoked,Others,Y,,
3742,3742_USA,USA,XX,1960.0,Aug,,Others,Y,M,
3743,3743_USA,USA,XX,1960.0,Aug,Unprovoked,Diving,N,M,38.0
3744,3744_Papua New Guinea,Papua New Guinea,XX,1960.0,Aug,Unprovoked,Diving,N,M,
3745,3745_USA,USA,XX,1960.0,Aug,Unprovoked,,N,M,14.0
3746,3746_USA,USA,XX,1960.0,Aug,Unprovoked,ShoreActivities,N,M,24.0
3747,3747_Others,Others,XX,1960.0,Aug,,Others,N,,
3748,3748_USA,USA,XX,1960.0,Aug,Provoked,Others,N,M,15.0
3749,3749_Others,Others,XX,1960.0,Aug,Provoked,Others,N,M,25.0
3750,3750_USA,USA,XX,1960.0,Aug,Unprovoked,Fishing,N,M,46.0
3751,3751_USA,USA,XX,1960.0,Aug,Unprovoked,Swimming,Y,M,
3752,3752_Papua New Guinea,Papua New Guinea,XX,1960.0,Jul,Unprovoked,Spearfishing,N,M,25.0
3753,3753_USA,USA,XX,1960.0,Jul,Unprovoked,Others,N,M,17.0
3754,3754_USA,USA,XX,1960.0,Jul,Provoked,Fishing,N,M,41.0
3755,3755_Papua New Guinea,Papua New Guinea,XX,1960.0,Jul,Unprovoked,Fishing,N,M,
3756,3756_USA,USA,XX,1960.0,Jun,Provoked,Fishing,N,M,
3757,3757_New Zealand,New Zealand,XX,1960.0,Jun,Provoked,Fishing,N,,
3758,3758_Others,Others,XX,1960.0,Jun,Provoked,Fishing,N,M,18.0
3759,3759_USA,USA,XX,1960.0,Jun,Unprovoked,Diving,N,M,39.0
3760,3760_USA,USA,XX,1960.0,Jun,,Others,N,M,38.0
3761,3761_Philippines,Philippines,XX,1960.0,Jun,Unprovoked,Diving,Y,M,58.0
3762,3762_USA,USA,XX,1960.0,Jun,Unprovoked,Swimming,N,M,24.0
3763,3763_Others,Others,XX,1960.0,May,Unprovoked,Spearfishing,N,M,27.0
3764,3764_Others,Others,XX,1960.0,May,Unprovoked,Diving,N,M,25.0
3765,3765_USA,USA,XX,1960.0,May,Unprovoked,Swimming,N,F,16.0
3766,3766_USA,USA,XX,1960.0,May,Provoked,,N,,
3767,3767_Papua New Guinea,Papua New Guinea,XX,1960.0,May,Unprovoked,,Y,,
3768,3768_South Africa,South Africa,XX,1960.0,Apr,Unprovoked,Swimming,N,M,16.0
3769,3769_USA,USA,XX,1960.0,Apr,Unprovoked,Freediving,N,M,48.0
3770,3770_Australia,Australia,XX,1960.0,Apr,Provoked,Fishing,N,M,
3771,3771_South Africa,South Africa,XX,1960.0,Apr,Provoked,Fishing,N,M,
3772,3772_Others,Others,XX,1960.0,Apr,,Swimming,N,M,28.0
3773,3773_Australia,Australia,XX,1960.0,Apr,Unprovoked,Surfing,N,M,17.0
3774,3774_Australia,Australia,XX,1960.0,Apr,Provoked,Spearfishing,N,M,
3775,3775_Australia,Australia,XX,1960.0,Apr,Unprovoked,Spearfishing,N,M,
3776,3776_Australia,Australia,XX,1960.0,Apr,Unprovoked,Others,N,M,
3777,3777_Australia,Australia,XX,1960.0,Apr,Provoked,Fishing,N,,
3778,3778_Fiji,Fiji,XX,1960.0,Apr,Unprovoked,Fishing,Y,F,
3779,3779_Philippines,Philippines,XX,1960.0,Apr,Provoked,Fishing,Y,M,
3780,3780_South Africa,South Africa,XX,1960.0,Apr,Unprovoked,Fishing,N,,
3781,3781_USA,USA,XX,1960.0,Mar,Unprovoked,Swimming,N,M,42.0
